size,algo,trial,ops,disorder,strategy
8,--simple,1,28,67.85,Simple / O(n^2)
8,--simple,2,25,21.42,Simple / O(n^2)
8,--simple,3,27,50.0,Simple / O(n^2)
8,--simple,4,24,42.85,Simple / O(n^2)
8,--simple,5,21,32.14,Simple / O(n^2)
8,--simple,6,20,42.85,Simple / O(n^2)
8,--simple,7,18,17.85,Simple / O(n^2)
8,--simple,8,24,39.28,Simple / O(n^2)
8,--simple,9,25,42.85,Simple / O(n^2)
8,--simple,10,18,39.28,Simple / O(n^2)
8,--simple,11,26,46.42,Simple / O(n^2)
8,--simple,12,20,64.28,Simple / O(n^2)
8,--simple,13,28,32.14,Simple / O(n^2)
8,--simple,14,26,71.42,Simple / O(n^2)
8,--simple,15,19,35.71,Simple / O(n^2)
8,--simple,16,25,28.57,Simple / O(n^2)
8,--simple,17,26,71.42,Simple / O(n^2)
8,--simple,18,30,64.28,Simple / O(n^2)
8,--simple,19,20,14.28,Simple / O(n^2)
8,--simple,20,27,57.14,Simple / O(n^2)
8,--simple,21,21,46.42,Simple / O(n^2)
8,--simple,22,21,60.71,Simple / O(n^2)
8,--simple,23,31,57.14,Simple / O(n^2)
8,--simple,24,23,28.57,Simple / O(n^2)
8,--simple,25,20,39.28,Simple / O(n^2)
8,--simple,26,30,46.42,Simple / O(n^2)
8,--simple,27,19,50.0,Simple / O(n^2)
8,--simple,28,20,35.71,Simple / O(n^2)
8,--simple,29,23,67.85,Simple / O(n^2)
8,--simple,30,25,50.0,Simple / O(n^2)
8,--simple,31,19,53.57,Simple / O(n^2)
8,--simple,32,21,50.0,Simple / O(n^2)
8,--simple,33,30,50.0,Simple / O(n^2)
8,--simple,34,20,42.85,Simple / O(n^2)
8,--simple,35,22,53.57,Simple / O(n^2)
8,--simple,36,27,64.28,Simple / O(n^2)
8,--simple,37,27,35.71,Simple / O(n^2)
8,--simple,38,27,57.14,Simple / O(n^2)
8,--simple,39,19,53.57,Simple / O(n^2)
8,--simple,40,15,17.85,Simple / O(n^2)
8,--simple,41,20,28.57,Simple / O(n^2)
8,--simple,42,20,32.14,Simple / O(n^2)
8,--simple,43,21,53.57,Simple / O(n^2)
8,--simple,44,26,53.57,Simple / O(n^2)
8,--simple,45,21,46.42,Simple / O(n^2)
8,--simple,46,22,28.57,Simple / O(n^2)
8,--simple,47,24,53.57,Simple / O(n^2)
8,--simple,48,28,60.71,Simple / O(n^2)
8,--simple,49,23,21.42,Simple / O(n^2)
8,--simple,50,28,53.57,Simple / O(n^2)
8,--intermediate,1,25,46.42,Intermediate / O(n√n)
